fork,eip,cross_layer,cohort,late_classification,censored,information_cutoff_at,days_cutoff_to_mainnet,days_cutoff_to_window_end,subst_revisions_after_cutoff,normative_revisions_after_cutoff,uncertain_revisions_after_cutoff,devnet_count,devnet_span_days,inferred_devnet_count,days_cutoff_to_first_devnet,deps_final,deps_after_cutoff,inclusion_reversals,unknown_inclusion_events,days_cutoff_to_sfi,observed_effort_composite_v0,eip_title,predicted_score,predicted_tier
shanghai,3651,False,forecastable_at_cutoff,,False,2022-03-04T00:00:00+00:00,404.9,404.9,0,0,0,7,53.9,0,293.5,1,0,0,0,,0.5,Warm COINBASE,6,low
shanghai,3855,False,forecastable_at_cutoff,,False,2022-02-04T00:00:00+00:00,432.9,432.9,1,0,0,7,53.9,0,321.5,0,0,0,0,,0.5,PUSH0 instruction,6,low
shanghai,3860,False,forecastable_at_cutoff,,False,2022-02-04T00:00:00+00:00,432.9,432.9,3,3,0,7,53.9,0,321.5,2,0,0,0,,0.7666666666666666,Limit and meter initcode,23,high
shanghai,4895,True,forecastable_at_cutoff,,False,2022-03-11T12:28:57+00:00,397.4,397.4,8,0,0,8,66.9,0,273.0,2,2,0,0,,0.9666666666666668,Beacon chain push withdrawals as operations,30,high
shanghai,6049,False,late_scope,ancillary_or_non_consensus,False,2023-01-19T00:00:00+00:00,83.9,83.9,0,0,0,0,,0,,0,0,0,0,,0.2666666666666666,Deprecate SELFDESTRUCT,3,low
cancun,1153,False,forecastable_at_cutoff,,False,2022-12-08T00:00:00+00:00,461.6,461.6,2,1,1,5,105.1,0,251.4,2,0,0,0,140.0,0.5,Transient storage opcodes,15,medium
cancun,4788,True,forecastable_at_cutoff,,False,2023-04-27T00:00:00+00:00,321.6,321.6,10,6,0,5,105.1,0,111.4,1,1,0,0,35.0,0.5555555555555556,Beacon block root in the EVM,38,high
cancun,4844,True,forecastable_at_cutoff,,False,2022-12-08T00:00:00+00:00,461.6,461.6,24,8,0,12,470.3,0,-113.7,6,0,0,0,0.0,1.0,Shard Blob Transactions,48,high
cancun,5656,False,forecastable_at_cutoff,,False,2023-05-25T00:00:00+00:00,293.6,293.6,4,0,0,5,105.1,0,83.4,1,0,0,0,14.0,0.5,MCOPY - Memory copying instruction,9,low
cancun,6780,False,forecastable_at_cutoff,,False,2023-03-30T00:00:00+00:00,349.6,349.6,2,1,0,5,105.1,0,139.4,3,0,0,0,28.0,0.5833333333333334,SELFDESTRUCT only in same transaction,16,medium
cancun,7516,False,late_scope,derived_companion,False,2023-09-14T00:00:00+00:00,181.6,181.6,2,0,0,1,0.0,3,15.4,2,0,0,0,0.0,0.3611111111111111,BLOBBASEFEE opcode,9,low
prague,2537,False,forecastable_at_cutoff,,False,2024-01-18T00:00:00+00:00,475.4,475.4,17,2,0,8,285.5,0,120.4,0,0,0,0,28.0,0.6060606060606061,Precompile for BLS12-381 curve operations,16,medium
prague,2935,False,forecastable_at_cutoff,,False,2024-04-11T00:00:00+00:00,391.4,391.4,12,7,0,8,285.5,0,36.4,3,3,0,0,0.0,0.787878787878788,Serve historical block hashes from state,24,high
prague,6110,True,forecastable_at_cutoff,,False,2024-01-18T00:00:00+00:00,475.4,475.4,7,2,1,8,285.5,0,120.4,1,1,0,0,25.7,0.5757575757575757,Supply validator deposits on chain,36,high
prague,7002,True,forecastable_at_cutoff,,False,2024-01-18T00:00:00+00:00,475.4,475.4,17,8,0,8,285.5,0,120.4,2,2,0,0,25.7,0.787878787878788,Execution layer triggerable withdrawals,38,high
prague,7251,True,forecastable_at_cutoff,,False,2024-03-21T00:00:00+00:00,412.4,412.4,17,8,0,8,285.5,0,57.4,2,1,0,0,0.0,0.787878787878788,Increase the MAX_EFFECTIVE_BALANCE,19,medium
prague,7623,False,forecastable_at_cutoff,,False,2024-04-11T00:00:00+00:00,391.4,391.4,8,3,0,3,41.4,0,280.6,1,1,0,0,251.8,0.4242424242424241,Increase calldata cost,16,medium
prague,7642,False,late_scope,optional,False,2025-04-17T21:24:29+00:00,19.5,19.5,0,0,0,0,,0,,1,0,0,2,,0.212121212121212,eth/69 - history expiry and simpler receipts,14,medium
prague,7685,True,forecastable_at_cutoff,,False,2024-04-25T00:00:00+00:00,377.4,377.4,5,3,0,7,263.6,1,22.4,0,0,0,0,0.0,0.3484848484848484,General purpose execution layer requests,34,high
prague,7691,True,late_scope,derived_companion,False,2024-12-18T19:48:12+00:00,139.6,139.6,1,0,0,3,41.4,0,28.7,2,1,0,0,0.0,0.409090909090909,Blob throughput increase,16,medium
prague,7702,False,forecastable_at_cutoff,,False,2024-05-23T00:00:00+00:00,349.4,349.4,26,17,2,7,218.5,0,61.5,12,7,0,0,14.0,0.8333333333333334,Set Code for EOAs,33,high
prague,7840,False,late_scope,derived_companion,False,2025-01-15T16:25:43+00:00,111.7,111.7,1,0,0,3,41.4,0,0.9,0,0,0,0,0.0,0.2272727272727272,Add blob schedule to EL config files,8,low
osaka,7594,True,forecastable_at_cutoff,,False,2024-09-27T18:42:32+00:00,432.1,432.1,3,1,0,6,107.0,0,240.8,1,0,0,0,0.0,0.763888888888889,PeerDAS - Peer Data Availability Sampling,24,high
osaka,7642,False,forecastable_at_cutoff,,False,2025-02-21T16:21:57+00:00,285.2,285.2,1,0,0,0,,0,,1,0,0,0,52.2,0.3888888888888888,eth/69 - history expiry and simpler receipts,12,medium
osaka,7823,False,forecastable_at_cutoff,,False,2025-01-23T23:05:03+00:00,313.9,313.9,1,0,0,6,107.0,0,122.6,1,0,0,0,110.0,0.625,Set upper bounds for MODEXP,13,medium
osaka,7825,False,forecastable_at_cutoff,,False,2025-02-21T01:11:23+00:00,285.9,285.9,1,0,0,5,93.1,0,108.4,0,0,0,0,90.7,0.4027777777777778,Transaction Gas Limit Cap,8,low
osaka,7883,False,forecastable_at_cutoff,,False,2025-02-21T10:10:59+00:00,285.5,285.5,3,0,0,6,107.0,0,94.1,1,0,0,0,89.2,0.763888888888889,ModExp Gas Cost Increase,8,low
osaka,7892,True,forecastable_at_cutoff,,False,2025-03-25T15:44:57+00:00,253.3,253.3,6,2,0,6,107.0,0,61.9,0,0,0,1,24.4,0.7083333333333334,Blob Parameter Only Hardforks,18,medium
osaka,7910,False,late_scope,ancillary_or_non_consensus,False,2025-07-10T14:25:07+00:00,146.3,146.3,5,0,0,0,,0,,2,0,0,0,0.0,0.6527777777777778,eth_config JSON-RPC Method,12,medium
osaka,7918,False,forecastable_at_cutoff,,False,2025-03-26T23:25:10+00:00,251.9,251.9,6,4,0,5,93.1,0,74.5,2,1,0,0,56.7,0.8472222222222223,Blob base fee bounded by execution cost,11,low
osaka,7934,False,late_scope,unresolved,False,2025-05-09T21:56:48+00:00,208.0,208.0,2,0,0,4,76.2,0,47.5,0,0,0,0,53.8,0.4305555555555556,RLP Execution Block Size Limit,7,low
osaka,7935,False,late_scope,independent_addition,False,2025-05-09T21:56:48+00:00,208.0,208.0,1,0,0,0,,0,,0,0,0,1,0.0,0.25,Set default gas limit to 60M,10,low
osaka,7939,False,late_scope,independent_addition,False,2025-07-02T17:49:36+00:00,154.2,154.2,1,0,0,4,76.2,0,-6.3,0,0,0,0,0.0,0.3333333333333333,Count leading zeros (CLZ) opcode,6,low
osaka,7951,False,forecastable_at_cutoff,,False,2025-07-02T17:49:36+00:00,154.2,154.2,1,0,0,4,76.2,0,-6.3,0,0,0,0,0.0,0.3333333333333333,Precompile for secp256r1 Curve Support,11,low
amsterdam,2780,False,forecastable_at_cutoff,,True,2025-09-12T13:12:54+00:00,,346.4,15,13,0,3,49.0,0,285.9,14,7,0,2,326.6,0.6777777777777777,Resource-based intrinsic transaction gas,25,high
amsterdam,7610,False,forecastable_at_cutoff,,True,2025-09-24T14:40:52+00:00,,334.4,1,0,0,3,49.0,0,273.9,3,1,0,1,314.5,0.3333333333333333,Revert creation in case of non-empty storage,9,low
amsterdam,7708,False,forecastable_at_cutoff,,True,2025-10-22T20:52:23+00:00,,306.1,10,5,0,15,187.9,0,106.7,5,5,0,0,200.5,0.7444444444444445,ETH transfers emit a log,19,medium
amsterdam,7778,False,forecastable_at_cutoff,,True,2025-09-03T20:52:20+00:00,,355.1,5,1,0,15,187.9,0,155.7,1,0,0,0,249.5,0.5,Block Gas Accounting without Refunds,13,medium
amsterdam,7843,False,forecastable_at_cutoff,,True,2025-06-09T07:29:29+00:00,,441.7,1,0,0,15,187.9,0,242.3,0,0,0,0,336.1,0.3666666666666667,SLOTNUM opcode,23,high
amsterdam,7928,False,forecastable_at_cutoff,,True,2025-07-31T16:00:14+00:00,,389.3,50,35,0,17,281.8,0,96.0,10,2,0,0,14.0,0.9444444444444444,Block-Level Access Lists,40,high
amsterdam,7954,False,forecastable_at_cutoff,,True,2026-01-20T14:22:47+00:00,,216.4,1,0,0,14,126.9,0,78.0,2,0,0,0,110.8,0.3999999999999999,Increase Maximum Contract Size,14,medium
amsterdam,7976,False,forecastable_at_cutoff,,True,2025-09-03T20:52:20+00:00,,355.1,2,1,0,13,111.5,0,232.1,2,0,0,0,249.5,0.4222222222222222,Increase Calldata Floor Cost,10,low
amsterdam,7981,False,forecastable_at_cutoff,,True,2025-08-26T21:52:26+00:00,,363.1,6,3,0,13,111.5,0,240.1,2,1,0,0,257.5,0.4777777777777777,Increase Access List Cost,11,low
amsterdam,7997,False,forecastable_at_cutoff,,True,2025-08-21T13:34:18+00:00,,368.4,7,6,0,3,49.0,0,307.9,2,0,0,2,348.6,0.4222222222222222,Deterministic Factory Contract,14,medium
amsterdam,8024,False,forecastable_at_cutoff,,True,2025-10-29T02:00:31+00:00,,299.9,7,4,0,15,187.9,0,100.5,0,0,0,0,194.3,0.5222222222222223,"Backward compatible SWAPN, DUPN, EXCHANGE",13,medium
amsterdam,8037,False,forecastable_at_cutoff,,True,2025-10-16T08:11:36+00:00,,312.7,27,20,0,14,126.9,0,174.3,19,16,0,0,207.0,0.8555555555555555,State Creation Gas Cost Increase,35,high
amsterdam,8038,False,forecastable_at_cutoff,,True,2025-10-16T08:11:36+00:00,,312.7,12,5,0,3,49.0,0,252.1,10,7,0,2,292.8,0.6222222222222222,State-access gas cost update,17,medium
amsterdam,8246,False,late_scope,derived_companion,True,2026-05-06T12:59:06+00:00,,110.5,1,0,0,3,49.0,0,49.9,2,0,0,2,90.6,0.2666666666666666,Remove SELFDESTRUCT Burn,12,medium
amsterdam,8282,True,late_scope,derived_companion,True,2026-07-13T07:12:57+00:00,,42.7,2,1,0,3,49.0,0,-17.8,8,1,0,1,22.8,0.4444444444444443,Builder Execution Requests,32,high
