fork,eip,cross_layer,cohort,censored,subst_revisions_after_cutoff,devnet_count,deps_final,observed_effort_composite_v0,composite_without_subst_revisions_after_cutoff,composite_without_devnet_count,composite_without_deps_final
shanghai,3651,False,forecastable_at_cutoff,False,0.3,0.6,0.6,0.5,0.6,0.44999999999999996,0.44999999999999996
shanghai,3855,False,forecastable_at_cutoff,False,0.6,0.6,0.3,0.5,0.44999999999999996,0.44999999999999996,0.6
shanghai,3860,False,forecastable_at_cutoff,False,0.8,0.6,0.9,0.7666666666666666,0.75,0.8500000000000001,0.7
shanghai,4895,True,forecastable_at_cutoff,False,1.0,1.0,0.9,0.9666666666666667,0.95,0.95,1.0
shanghai,6049,False,late_scope,False,0.3,0.2,0.3,0.26666666666666666,0.25,0.3,0.25
cancun,1153,False,forecastable_at_cutoff,False,0.3333333333333333,0.5833333333333334,0.5833333333333334,0.5,0.5833333333333334,0.45833333333333337,0.45833333333333337
cancun,4788,True,forecastable_at_cutoff,False,0.8333333333333334,0.5833333333333334,0.25,0.5555555555555556,0.4166666666666667,0.5416666666666667,0.7083333333333334
cancun,4844,True,forecastable_at_cutoff,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cancun,5656,False,forecastable_at_cutoff,False,0.6666666666666666,0.5833333333333334,0.25,0.5,0.4166666666666667,0.4583333333333333,0.625
cancun,6780,False,forecastable_at_cutoff,False,0.3333333333333333,0.5833333333333334,0.8333333333333334,0.5833333333333334,0.7083333333333334,0.5833333333333334,0.45833333333333337
cancun,7516,False,late_scope,False,0.3333333333333333,0.1666666666666666,0.5833333333333334,0.3611111111111111,0.375,0.45833333333333337,0.24999999999999994
prague,2537,False,forecastable_at_cutoff,False,0.8181818181818182,0.8181818181818182,0.1818181818181818,0.6060606060606061,0.5,0.5,0.8181818181818182
prague,2935,False,forecastable_at_cutoff,False,0.6363636363636364,0.8181818181818182,0.9090909090909092,0.787878787878788,0.8636363636363638,0.7727272727272727,0.7272727272727273
prague,6110,True,forecastable_at_cutoff,False,0.4545454545454545,0.8181818181818182,0.4545454545454545,0.5757575757575757,0.6363636363636364,0.4545454545454545,0.6363636363636364
prague,7002,True,forecastable_at_cutoff,False,0.8181818181818182,0.8181818181818182,0.7272727272727273,0.787878787878788,0.7727272727272727,0.7727272727272727,0.8181818181818182
prague,7251,True,forecastable_at_cutoff,False,0.8181818181818182,0.8181818181818182,0.7272727272727273,0.787878787878788,0.7727272727272727,0.7727272727272727,0.8181818181818182
prague,7623,False,forecastable_at_cutoff,False,0.5454545454545454,0.2727272727272727,0.4545454545454545,0.42424242424242414,0.3636363636363636,0.49999999999999994,0.40909090909090906
prague,7642,False,late_scope,False,0.0909090909090909,0.0909090909090909,0.4545454545454545,0.21212121212121207,0.2727272727272727,0.2727272727272727,0.0909090909090909
prague,7685,True,forecastable_at_cutoff,False,0.3636363636363636,0.5,0.1818181818181818,0.34848484848484845,0.3409090909090909,0.2727272727272727,0.43181818181818177
prague,7691,True,late_scope,False,0.2272727272727272,0.2727272727272727,0.7272727272727273,0.409090909090909,0.5,0.47727272727272724,0.24999999999999994
prague,7702,False,forecastable_at_cutoff,False,1.0,0.5,1.0,0.8333333333333334,0.75,1.0,0.75
prague,7840,False,late_scope,False,0.2272727272727272,0.2727272727272727,0.1818181818181818,0.2272727272727272,0.22727272727272724,0.2045454545454545,0.24999999999999994
osaka,7594,True,forecastable_at_cutoff,False,0.7083333333333334,0.875,0.7083333333333334,0.763888888888889,0.7916666666666667,0.7083333333333334,0.7916666666666667
osaka,7642,False,forecastable_at_cutoff,False,0.2916666666666667,0.1666666666666666,0.7083333333333334,0.38888888888888884,0.4375,0.5,0.22916666666666663
osaka,7823,False,forecastable_at_cutoff,False,0.2916666666666667,0.875,0.7083333333333334,0.625,0.7916666666666667,0.5,0.5833333333333334
