fork,eip,cross_layer,cohort,late_classification,censored,information_cutoff_at,days_cutoff_to_mainnet,days_cutoff_to_window_end,subst_revisions_after_cutoff,normative_revisions_after_cutoff,uncertain_revisions_after_cutoff,devnet_count,devnet_span_days,inferred_devnet_count,days_cutoff_to_first_devnet,deps_final,deps_after_cutoff,inclusion_reversals,unknown_inclusion_events,days_cutoff_to_sfi
shanghai,3651,False,forecastable_at_cutoff,,False,2022-03-04T00:00:00+00:00,0.6,404.9,0.3,0.5,0,0.6,0.5,0,0.5,0.6,0.5,0.6,0,
shanghai,3855,False,forecastable_at_cutoff,,False,2022-02-04T00:00:00+00:00,0.9,432.9,0.6,0.5,0,0.6,0.5,0,0.875,0.3,0.5,0.6,0,
shanghai,3860,False,forecastable_at_cutoff,,False,2022-02-04T00:00:00+00:00,0.9,432.9,0.8,1.0,0,0.6,0.5,0,0.875,0.9,0.5,0.6,0,
shanghai,4895,True,forecastable_at_cutoff,,False,2022-03-11T12:28:57+00:00,0.4,397.4,1.0,0.5,0,1.0,1.0,0,0.25,0.9,1.0,0.6,0,
shanghai,6049,False,late_scope,ancillary_or_non_consensus,False,2023-01-19T00:00:00+00:00,0.2,83.9,0.3,0.5,0,0.2,,0,,0.3,0.5,0.6,0,
cancun,1153,False,forecastable_at_cutoff,,False,2022-12-08T00:00:00+00:00,0.9166666666666666,461.6,0.3333333333333333,0.5833333333333334,1,0.5833333333333334,0.5833333333333334,0,1.0,0.5833333333333334,0.5,0.5833333333333334,0,1.0
cancun,4788,True,forecastable_at_cutoff,,False,2023-04-27T00:00:00+00:00,0.5,321.6,0.8333333333333334,0.8333333333333334,0,0.5833333333333334,0.5833333333333334,0,0.6666666666666666,0.25,1.0,0.5833333333333334,0,0.8333333333333334
cancun,4844,True,forecastable_at_cutoff,,False,2022-12-08T00:00:00+00:00,0.9166666666666666,461.6,1.0,1.0,0,1.0,1.0,0,0.16666666666666666,1.0,0.5,0.5833333333333334,0,0.25
cancun,5656,False,forecastable_at_cutoff,,False,2023-05-25T00:00:00+00:00,0.3333333333333333,293.6,0.6666666666666666,0.25,0,0.5833333333333334,0.5833333333333334,0,0.5,0.25,0.5,0.5833333333333334,0,0.5
cancun,6780,False,forecastable_at_cutoff,,False,2023-03-30T00:00:00+00:00,0.6666666666666666,349.6,0.3333333333333333,0.5833333333333334,0,0.5833333333333334,0.5833333333333334,0,0.8333333333333334,0.8333333333333334,0.5,0.5833333333333334,0,0.6666666666666666
cancun,7516,False,late_scope,derived_companion,False,2023-09-14T00:00:00+00:00,0.16666666666666666,181.6,0.3333333333333333,0.25,0,0.16666666666666666,0.16666666666666666,3,0.3333333333333333,0.5833333333333334,0.5,0.5833333333333334,0,0.25
prague,2537,False,forecastable_at_cutoff,,False,2024-01-18T00:00:00+00:00,0.9090909090909091,475.4,0.8181818181818182,0.4090909090909091,0,0.8181818181818182,0.8,0,0.8,0.18181818181818182,0.22727272727272727,0.5454545454545454,0,0.9
prague,2935,False,forecastable_at_cutoff,,False,2024-04-11T00:00:00+00:00,0.5909090909090909,391.4,0.6363636363636364,0.7272727272727273,0,0.8181818181818182,0.8,0,0.4,0.9090909090909091,0.9090909090909091,0.5454545454545454,0,0.3
prague,6110,True,forecastable_at_cutoff,,False,2024-01-18T00:00:00+00:00,0.9090909090909091,475.4,0.45454545454545453,0.4090909090909091,1,0.8181818181818182,0.8,0,0.8,0.45454545454545453,0.5909090909090909,0.5454545454545454,0,0.75
prague,7002,True,forecastable_at_cutoff,,False,2024-01-18T00:00:00+00:00,0.9090909090909091,475.4,0.8181818181818182,0.8636363636363636,0,0.8181818181818182,0.8,0,0.8,0.7272727272727273,0.8181818181818182,0.5454545454545454,0,0.75
prague,7251,True,forecastable_at_cutoff,,False,2024-03-21T00:00:00+00:00,0.7272727272727273,412.4,0.8181818181818182,0.8636363636363636,0,0.8181818181818182,0.8,0,0.5,0.7272727272727273,0.5909090909090909,0.5454545454545454,0,0.3
prague,7623,False,forecastable_at_cutoff,,False,2024-04-11T00:00:00+00:00,0.5909090909090909,391.4,0.5454545454545454,0.5909090909090909,0,0.2727272727272727,0.2,0,1.0,0.45454545454545453,0.5909090909090909,0.5454545454545454,0,1.0
