,days_cutoff_to_mainnet,subst_revisions_after_cutoff,normative_revisions_after_cutoff,devnet_count,devnet_span_days,days_cutoff_to_first_devnet,deps_final,deps_after_cutoff,inclusion_reversals,days_cutoff_to_sfi
days_cutoff_to_mainnet,1.0,0.57,0.594,0.826,0.513,0.581,0.304,0.265,,0.263
subst_revisions_after_cutoff,0.57,1.0,0.876,0.46,0.509,0.04,0.5,0.633,,0.046
normative_revisions_after_cutoff,0.594,0.876,1.0,0.439,0.464,0.078,0.539,0.62,,0.126
devnet_count,0.826,0.46,0.439,1.0,0.825,0.12,0.126,0.194,,0.179
devnet_span_days,0.513,0.509,0.464,0.825,1.0,-0.165,0.018,0.095,,-0.147
days_cutoff_to_first_devnet,0.581,0.04,0.078,0.12,-0.165,1.0,0.098,0.1,,0.799
deps_final,0.304,0.5,0.539,0.126,0.018,0.098,1.0,0.664,,0.184
deps_after_cutoff,0.265,0.633,0.62,0.194,0.095,0.1,0.664,1.0,,0.167
inclusion_reversals,,,,,,,,,,
days_cutoff_to_sfi,0.263,0.046,0.126,0.179,-0.147,0.799,0.184,0.167,,1.0
