,days_cutoff_to_mainnet,subst_revisions_after_cutoff,normative_revisions_after_cutoff,devnet_count,devnet_span_days,days_cutoff_to_first_devnet,deps_final,deps_after_cutoff,inclusion_reversals,days_cutoff_to_sfi
days_cutoff_to_mainnet,1.0,0.266,0.41,0.725,0.659,0.709,0.206,0.085,0.052,0.503
subst_revisions_after_cutoff,0.266,1.0,0.779,0.441,0.428,0.123,0.47,0.533,0.095,0.033
normative_revisions_after_cutoff,0.41,0.779,1.0,0.346,0.285,0.238,0.483,0.516,0.131,0.068
devnet_count,0.725,0.441,0.346,1.0,0.946,0.01,0.066,0.11,0.023,0.095
devnet_span_days,0.659,0.428,0.285,0.946,1.0,0.056,0.099,0.027,-0.012,0.025
days_cutoff_to_first_devnet,0.709,0.123,0.238,0.01,0.056,1.0,0.128,0.122,0.087,0.816
deps_final,0.206,0.47,0.483,0.066,0.099,0.128,1.0,0.643,0.064,-0.111
deps_after_cutoff,0.085,0.533,0.516,0.11,0.027,0.122,0.643,1.0,0.029,0.087
inclusion_reversals,0.052,0.095,0.131,0.023,-0.012,0.087,0.064,0.029,1.0,0.062
days_cutoff_to_sfi,0.503,0.033,0.068,0.095,0.025,0.816,-0.111,0.087,0.062,1.0
